,Symbol,Start_Date,End_Date,Trading_Days,Missing_Close_Pct
23,INFRATEL,,,0,
10,COALINDIA,2010-11-04,2021-04-30,2598,0.0
32,NESTLEIND,2010-01-08,2021-04-30,2806,0.0
4,BAJAJFINSV,2008-05-26,2021-04-30,3201,0.0
3,BAJAJ-AUTO,2008-05-26,2021-04-30,3202,0.0
0,ADANIPORTS,2007-11-27,2021-04-30,3322,0.0
35,POWERGRID,2007-10-05,2021-04-30,3359,0.0
43,TECHM,2006-08-28,2021-04-30,3635,0.0
27,JSWSTEEL,2005-03-23,2021-04-30,3994,0.0
33,NTPC,2004-11-05,2021-04-30,4088,0.0
42,TCS,2004-08-25,2021-04-30,4139,0.0
45,ULTRACEMCO,2004-08-24,2021-04-30,4140,0.0
29,LT,2004-06-23,2021-04-30,4184,0.0
46,UPL,2004-01-23,2021-04-30,4287,0.0
30,MARUTI,2003-07-09,2021-04-30,4427,0.0
6,BHARTIARTL,2002-02-18,2021-04-30,4774,0.0
38,SHREECEM,2000-01-03,2021-04-30,4985,0.0
13,GAIL,2000-01-03,2021-04-30,4985,0.0
22,INDUSINDBK,2000-01-03,2021-04-30,4985,0.0
28,KOTAKBANK,2000-01-03,2021-04-30,4985,0.0
5,BAJFINANCE,2000-01-03,2021-04-30,5235,0.0
15,HCLTECH,2000-01-11,2021-04-30,5300,0.0
12,EICHERMOT,2000-01-03,2021-04-30,5301,0.0
47,VEDL,2000-01-03,2021-04-30,5305,0.0
8,BRITANNIA,2000-01-03,2021-04-30,5305,0.0
14,GRASIM,2000-01-03,2021-04-30,5306,0.0
9,CIPLA,2000-01-03,2021-04-30,5306,0.0
11,DRREDDY,2000-01-03,2021-04-30,5306,0.0
2,AXISBANK,2000-01-03,2021-04-30,5306,0.0
1,ASIANPAINT,2000-01-03,2021-04-30,5306,0.0
16,HDFC,2000-01-03,2021-04-30,5306,0.0
7,BPCL,2000-01-03,2021-04-30,5306,0.0
31,MM,2000-01-03,2021-04-30,5306,0.0
24,INFY,2000-01-03,2021-04-30,5306,0.0
25,IOC,2000-01-03,2021-04-30,5306,0.0
26,ITC,2000-01-03,2021-04-30,5306,0.0
19,HINDALCO,2000-01-03,2021-04-30,5306,0.0
18,HEROMOTOCO,2000-01-03,2021-04-30,5306,0.0
21,ICICIBANK,2000-01-03,2021-04-30,5306,0.0
20,HINDUNILVR,2000-01-03,2021-04-30,5306,0.0
17,HDFCBANK,2000-01-03,2021-04-30,5306,0.0
37,SBIN,2000-01-03,2021-04-30,5306,0.0
36,RELIANCE,2000-01-03,2021-04-30,5306,0.0
34,ONGC,2000-01-03,2021-04-30,5306,0.0
39,SUNPHARMA,2000-01-03,2021-04-30,5306,0.0
41,TATASTEEL,2000-01-03,2021-04-30,5306,0.0
40,TATAMOTORS,2000-01-03,2021-04-30,5306,0.0
44,TITAN,2000-01-03,2021-04-30,5306,0.0
48,WIPRO,2000-01-03,2021-04-30,5306,0.0
49,ZEEL,2000-01-03,2021-04-30,5306,0.0
