,Symbol,Weight,Profile
0,HINDUNILVR,0.1111,Conservative
1,DRREDDY,0.1025,Conservative
2,HEROMOTOCO,0.0846,Conservative
3,BRITANNIA,0.0788,Conservative
4,SHREECEM,0.0692,Conservative
5,ASIANPAINT,0.0609,Conservative
6,BHARTIARTL,0.0534,Conservative
7,BPCL,0.0471,Conservative
8,ZEEL,0.0438,Conservative
9,HDFCBANK,0.0417,Conservative
10,MM,0.0336,Conservative
11,RELIANCE,0.0336,Conservative
12,HDFC,0.0336,Conservative
13,MARUTI,0.0336,Conservative
14,CIPLA,0.0308,Conservative
15,ITC,0.0297,Conservative
16,SUNPHARMA,0.0287,Conservative
17,INFY,0.0285,Conservative
18,IOC,0.0143,Conservative
19,WIPRO,0.0124,Conservative
20,EICHERMOT,0.0105,Conservative
21,HCLTECH,0.0092,Conservative
22,BAJFINANCE,0.0083,Conservative
0,SHREECEM,0.1554,Balanced
1,ASIANPAINT,0.1252,Balanced
2,HINDUNILVR,0.1109,Balanced
3,BAJFINANCE,0.1088,Balanced
4,BRITANNIA,0.107,Balanced
5,TITAN,0.0676,Balanced
6,DRREDDY,0.0587,Balanced
7,EICHERMOT,0.0529,Balanced
8,HEROMOTOCO,0.0425,Balanced
9,CIPLA,0.0257,Balanced
10,ITC,0.0247,Balanced
11,SUNPHARMA,0.0239,Balanced
12,INFY,0.0238,Balanced
13,BHARTIARTL,0.0165,Balanced
14,IOC,0.0119,Balanced
15,BPCL,0.0112,Balanced
16,WIPRO,0.0104,Balanced
17,ZEEL,0.0085,Balanced
18,HCLTECH,0.0077,Balanced
19,HDFCBANK,0.0068,Balanced
0,SHREECEM,0.1753,Aggressive
1,BAJFINANCE,0.1633,Aggressive
2,ASIANPAINT,0.1038,Aggressive
3,TITAN,0.0943,Aggressive
4,HINDUNILVR,0.0647,Aggressive
5,EICHERMOT,0.0615,Aggressive
6,BRITANNIA,0.0577,Aggressive
7,TATASTEEL,0.0496,Aggressive
8,VEDL,0.0479,Aggressive
9,TATAMOTORS,0.0388,Aggressive
10,HINDALCO,0.0361,Aggressive
11,SBIN,0.0258,Aggressive
12,GRASIM,0.0258,Aggressive
13,GAIL,0.0196,Aggressive
14,ONGC,0.019,Aggressive
15,INDUSINDBK,0.0167,Aggressive
