,Symbol,Total_Return_Pct,Rank
0,SHREECEM,22947.481420313794,1
1,BAJFINANCE,6581.25,2
2,INDUSINDBK,2115.521327014218,3
3,MARUTI,1453.8933686364182,4
4,TITAN,1141.4898044111528,5
5,HINDUNILVR,1105.814549180328,6
6,EICHERMOT,879.6318770226538,7
7,ASIANPAINT,641.529016225698,8
8,HEROMOTOCO,519.3211775043937,9
9,BRITANNIA,412.82432532897184,10
10,KOTAKBANK,372.20197110841093,11
11,AXISBANK,347.3717146433041,12
12,BHARTIARTL,324.812030075188,13
13,HDFCBANK,287.09058517198844,14
14,HDFC,284.3563884697848,15
15,DRREDDY,277.4747770141834,16
16,RELIANCE,257.5333871112306,17
17,HCLTECH,177.839592025962,18
18,TATASTEEL,142.86553141514972,19
19,ICICIBANK,104.46033367381685,20
20,MM,85.2658788774003,21
21,GRASIM,24.38440037268734,22
22,ZEEL,19.54911433172302,23
23,UPL,9.588299024918756,24
24,SUNPHARMA,8.236169684941718,25
25,BPCL,-7.9340827239986815,26
26,CIPLA,-29.721696838692235,27
27,GAIL,-36.4520611394164,28
28,TATAMOTORS,-36.982629208663944,29
29,SBIN,-43.190036159100046,30
30,VEDL,-58.39061868176304,31
31,WIPRO,-71.35091136370244,32
32,HINDALCO,-71.57898841789184,33
33,INFY,-75.20073243305104,34
34,IOC,-80.21989984759416,35
35,ITC,-80.30715396578539,36
36,ONGC,-86.16742341881435,37
